Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
706,Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer,Male,1433.00,50540.00,,,,
1055,Aquaculture worker,Female,500.00,23886.00,,,,
993,Aquaculture worker,Male,1408.00,33178.00,,,,
565,Arborist; Tree surgeon,Female,114.00,47535.00,,,,
686,Arborist; Tree surgeon,Male,4672.00,51801.00,,,,
326,Architect,Female,4684.00,60947.00,,,,
231,Architect,Male,10601.00,88729.00,,,,
559,Architectural draftsperson; Building designer,Female,3020.00,48151.00,,,,
485,Architectural draftsperson; Building designer,Male,9688.00,65884.00,,,,
363,Archivist,Female,595.00,59359.00,,,,
550,Archivist,Male,279.00,61686.00,,,,
596,Armoured car escort; Payroll guard,Female,134.00,46508.00,,,,
615,Armoured car escort; Payroll guard,Male,1072.00,56033.00,,,,
264,"Art director - film, television or stage",Female,298.00,65185.00,,,,
338,"Art director - film, television or stage",Male,502.00,77274.00,,,,
216,Art director - publishing or advertising; Producer - media,Female,3455.00,69919.00,,,,
218,Art director - publishing or advertising; Producer - media,Male,3280.00,90356.00,,,,
672,Art teacher - private,Female,1041.00,42025.00,,,,
818,Art teacher - private,Male,280.00,44878.00,,,,
283,"Articled clerk; Coroner; Court registrar - Court of Appeals; Court registrar - Federal, Supreme or Family Courts; Judicial registrar",Female,690.00,64045.00,,,,
223,"Articled clerk; Coroner; Court registrar - Court of Appeals; Court registrar - Federal, Supreme or Family Courts; Judicial registrar",Male,286.00,89706.00,,,,
845,Artist - other visual; Craft worker,Female,872.00,34117.00,,,,
750,Artist - other visual; Craft worker,Male,779.00,48095.00,,,,
202,Artistic director,Female,241.00,71377.00,,,,
312,Artistic director,Male,260.00,79748.00,,,,
484,Arts administrator; Arts manager,Female,2682.00,51948.00,,,,
505,Arts administrator; Arts manager,Male,923.00,65044.00,,,,
812,Assembler; Assembly line worker,Female,11741.00,35424.00,,,,
865,Assembler; Assembly line worker,Male,23166.00,41975.00,,,,
369,Associate editor; Newspaper editor; Periodical editor; Sub editor,Female,1843.00,59025.00,,,,
264,Associate editor; Newspaper editor; Periodical editor; Sub editor,Male,1088.00,85189.00,,,,
810,Athlete,Female,56.00,35453.00,,,,
713,Athlete,Male,159.00,50110.00,,,,
629,Auctioneer,Female,56.00,44181.00,,,,
262,Auctioneer,Male,582.00,85444.00,,,,
494,Audio engineer; Editor - sound; Sound engineer or technician,Female,362.00,51438.00,,,,
634,Audio engineer; Editor - sound; Sound engineer or technician,Male,3817.00,54991.00,,,,
221,Audiologist,Female,1596.00,69049.00,,,,
214,Audiologist,Male,547.00,91877.00,,,,
469,Author,Female,447.00,52657.00,,,,
539,Author,Male,351.00,62596.00,,,,
348,Automotive electrician,Female,62.00,59718.00,,,,
385,Automotive electrician,Male,6748.00,73719.00,,,,
684,Back hoe operator,Female,12.00,41614.00,,,,
533,Back hoe operator,Male,582.00,62893.00,,,,
